,Hitting,,,,,,,,,,,,,,,,,,Pitching,,,,,,,,,,,,,,
Team #,TEAM,GP,AB,R,H,2B,3B,HR,TB,RBI,BA,OBP,SLG,OPS,W,L,,RK,TEAM,GP,W,L,ERA,SV,CG,SHO,IP,QS,ER,R,BB,SO,BAA
1,Texas,162,5728,901,1619,376,35,194,2647,867,0.283,0.354,0.462,0.816,79,83,,1,Toronto,162,86,76,3.49,44,15,13,1446.2,90,561,610,467,1184,0.244
2,Chicago Cubs,161,5588,855,1552,329,21,184,2475,811,0.278,0.354,0.443,0.797,97,64,,2,LA Dodgers,162,84,78,3.68,35,5,11,1447.1,79,591,648,480,1205,0.251
3,Boston,162,5596,845,1565,353,33,173,2503,807,0.28,0.358,0.447,0.805,95,67,,3,Tampa Bay,162,97,65,3.82,52,7,12,1457.2,82,618,671,526,1143,0.246
4,Minnesota,163,5641,829,1572,298,49,111,2301,791,0.279,0.34,0.408,0.748,88,75,,4,Milwaukee,162,90,72,3.85,45,12,10,1455.2,84,623,689,528,1110,0.256
5,Detroit,162,5641,821,1529,293,41,200,2504,780,0.271,0.34,0.444,0.784,74,88,,5,Chicago Cubs,161,97,64,3.87,44,2,8,1450.2,84,624,671,548,1264,0.242
6,Chicago Sox,163,5553,811,1458,296,13,235,2485,785,0.263,0.332,0.448,0.78,89,74,,6,Philadelphia,162,92,70,3.88,47,4,11,1449.2,88,625,680,533,1081,0.26
7,Cleveland,162,5543,805,1455,339,22,171,2351,772,0.262,0.339,0.424,0.763,81,81,,7,Arizona,162,82,80,3.98,39,6,9,1434.2,95,635,706,451,1229,0.256
8,NY Mets,162,5606,799,1491,274,38,172,2357,751,0.266,0.34,0.42,0.761,89,73,,8,LA Angels,162,100,62,3.99,66,7,10,1451.1,92,644,697,457,1106,0.261
9,Philadelphia,162,5509,799,1407,291,36,214,2412,762,0.255,0.332,0.438,0.77,92,70,,9,Boston,162,95,67,4.01,47,5,16,1446.1,82,645,694,548,1185,0.25
10,NY Yankees,162,5572,789,1512,289,20,180,2381,758,0.271,0.342,0.427,0.769,89,73,,10,Oakland,161,75,86,4.01,33,4,7,1435,71,640,690,576,1061,0.253
11,Baltimore,161,5559,782,1486,322,30,172,2384,750,0.267,0.333,0.429,0.762,68,93,,11,Chicago Sox,163,89,74,4.06,34,4,10,1457.2,93,658,729,460,1147,0.261
12,St. Louis,162,5636,779,1585,283,26,174,2442,744,0.281,0.35,0.433,0.783,86,76,,12,NY Mets,162,89,73,4.07,43,5,12,1464.1,86,662,715,590,1181,0.254
13,Tampa Bay,162,5541,774,1443,284,37,180,2341,735,0.26,0.34,0.422,0.762,97,65,,13,Minnesota,163,88,75,4.16,42,5,10,1459,86,675,745,406,995,0.274
14,Florida,161,5499,770,1397,302,28,208,2379,741,0.254,0.326,0.433,0.759,84,77,,14,St. Louis,162,86,76,4.19,42,2,7,1454,78,677,725,496,957,0.27
15,LA Angels,162,5540,765,1486,274,25,159,2287,721,0.268,0.33,0.413,0.743,100,62,,15,NY Yankees,162,89,73,4.28,42,1,11,1441.2,78,685,727,489,1141,0.266
16,Atlanta,162,5604,753,1514,316,33,130,2286,721,0.27,0.345,0.408,0.753,72,90,,16,Houston,161,86,75,4.36,48,4,13,1425.1,71,691,743,492,1095,0.264
17,Milwaukee,162,5535,750,1398,324,35,198,2386,722,0.253,0.325,0.431,0.757,90,72,,17,San Francisco,162,72,90,4.38,41,4,12,1442,86,701,759,652,1240,0.258
18,Colorado,162,5557,747,1462,310,28,160,2308,714,0.263,0.336,0.415,0.751,74,88,,18,San Diego,162,63,99,4.41,30,3,6,1458.1,76,714,764,561,1100,0.263
19,Pittsburgh,162,5628,735,1454,314,21,153,2269,705,0.258,0.32,0.403,0.723,67,95,,19,Florida,161,84,77,4.43,36,2,8,1435.1,74,707,767,586,1127,0.258
20,Arizona,162,5409,720,1355,318,47,159,2244,683,0.251,0.327,0.415,0.742,82,80,,20,Cleveland,162,81,81,4.45,31,10,13,1437,84,711,761,444,986,0.273
21,Toronto,162,5503,714,1453,303,32,126,2198,681,0.264,0.331,0.399,0.731,86,76,,21,Atlanta,162,72,90,4.46,26,2,7,1440.2,75,714,778,586,1076,0.263
22,Houston,161,5451,712,1432,284,22,167,2261,684,0.263,0.323,0.415,0.737,86,75,,22,Kansas City,162,75,87,4.48,44,2,8,1445.2,78,720,781,515,1085,0.264
23,Cincinnati,162,5465,704,1351,269,24,187,2229,677,0.247,0.321,0.408,0.729,74,88,,23,Cincinnati,162,74,88,4.55,34,2,6,1442.1,78,729,800,557,1227,0.275
24,LA Dodgers,162,5506,700,1455,271,29,137,2195,659,0.264,0.333,0.399,0.732,84,78,,24,Washington,161,59,102,4.66,28,2,8,1434,67,742,825,588,1063,0.27
25,Kansas City,162,5608,691,1507,303,28,120,2226,650,0.269,0.32,0.397,0.717,75,87,,25,Seattle,162,61,101,4.73,36,4,4,1435.1,73,754,811,626,1016,0.276
26,Seattle,162,5643,671,1498,285,20,124,2195,631,0.265,0.318,0.389,0.707,61,101,,26,Colorado,162,74,88,4.77,36,3,8,1446,68,766,822,562,1041,0.276
